student_id,study_hours_per_week,attendance_pct,assignment_completion_pct,previous_term_score,internet_quality,parental_support,extra_classes,sleep_hours_per_night,disciplinary_record,final_exam_score,passed
STD20001,13.1,100,100,56,Fair,Low,0,7.8,1,99,1
STD20002,11.5,49,53,64,Fair,Low,0,7.6,0,80,1
STD20003,4.8,100,87,70,Fair,Medium,0,6.4,0,99,1
STD20004,6.3,73,100,41,Fair,High,1,4.9,1,91,1
STD20005,5.6,81,90,41,Good,Medium,0,7.6,0,100,1
STD20006,18.5,56,54,39,Good,Low,1,7.3,0,100,1
STD20007,14.7,90,55,56,Poor,Low,0,7.9,0,88,1
STD20008,7.7,77,64,53,Good,Medium,1,6.4,0,100,1
STD20009,9.2,75,81,36,Fair,Medium,1,4.6,0,100,1
STD20010,7.9,49,82,60,Good,Low,1,7.5,0,100,1
STD20011,7.6,77,55,57,Fair,High,0,6.8,0,100,1
STD20012,14.3,88,62,76,Poor,Low,0,8.6,0,100,1
STD20013,10.6,73,63,88,Good,High,1,6.8,0,100,1
STD20014,22.4,92,75,65,Poor,High,0,6.7,0,100,1
STD20015,18.3,92,100,48,Good,Medium,0,7.3,0,100,1
STD20016,18.5,67,61,68,Good,Medium,0,6.0,1,100,1
STD20017,15.4,98,60,58,Good,Low,0,6.0,0,100,1
STD20018,9.9,77,58,54,Fair,Medium,1,6.7,0,100,1
STD20019,15.0,77,89,45,Fair,Medium,0,5.6,0,100,1
STD20020,10.3,77,77,51,Fair,Low,0,6.5,1,79,1
STD20021,20.2,77,62,55,Poor,Medium,0,9.3,0,99,1
STD20022,14.0,39,71,70,Good,Low,0,8.2,0,92,1
STD20023,13.3,73,64,66,Fair,Low,0,7.2,0,95,1
STD20024,12.6,57,83,85,Fair,Medium,1,8.8,0,100,1
STD20025,20.7,99,100,68,Poor,Medium,1,5.7,0,100,1
STD20026,4.8,98,88,64,Good,Low,1,9.5,0,100,1
STD20027,21.2,88,76,53,Good,Low,0,6.2,0,100,1
STD20028,11.1,73,66,42,Fair,Low,0,9.4,0,91,1
STD20029,5.0,62,54,49,Fair,Medium,0,9.4,0,75,1
STD20030,8.2,67,91,48,Good,Medium,1,4.5,0,100,1
STD20031,3.7,100,90,20,Fair,Low,1,8.7,1,79,1
STD20032,15.3,66,70,43,Good,Medium,1,6.4,0,100,1
STD20033,6.8,43,100,82,Good,High,0,6.1,0,100,1
STD20034,12.8,90,78,64,Good,Medium,0,7.5,0,100,1
STD20035,17.7,97,92,52,Poor,Medium,1,5.5,0,100,1
STD20036,8.6,99,83,64,Good,Medium,0,7.5,0,100,1
STD20037,10.7,91,75,29,Good,High,1,5.6,0,100,1
STD20038,5.5,93,61,62,Fair,High,1,7.0,0,100,1
STD20039,10.1,77,75,77,Good,Low,0,8.5,1,100,1
STD20040,24.9,47,93,56,Fair,Low,1,7.3,0,100,1
STD20041,15.9,76,69,31,Good,Low,1,6.3,0,100,1
STD20042,10.7,85,86,52,Good,High,1,7.5,1,100,1
STD20043,8.9,74,59,77,Poor,Low,0,5.0,1,71,1
STD20044,11.8,73,92,62,Fair,High,0,5.7,0,100,1
STD20045,12.7,63,84,37,Poor,Low,1,6.2,0,100,1
STD20046,9.9,62,56,94,Fair,Medium,0,7.8,0,100,1
STD20047,14.7,100,74,39,Good,Low,0,7.3,0,100,1
STD20048,7.2,100,95,54,Fair,Medium,0,7.5,1,96,1
STD20049,7.2,76,55,42,Good,Medium,0,6.8,0,100,1
STD20050,13.9,80,59,42,Poor,Medium,1,5.8,0,90,1
STD20051,6.2,62,77,51,Good,Medium,0,8.7,0,100,1
STD20052,15.6,85,100,68,Good,Medium,0,5.9,0,100,1
STD20053,11.9,100,66,77,Good,Medium,0,7.3,0,100,1
STD20054,2.9,55,87,52,Good,High,0,6.7,0,96,1
STD20055,12.5,82,83,43,Good,High,0,7.5,0,100,1
STD20056,3.6,84,67,65,Fair,Medium,0,6.0,0,85,1
STD20057,15.5,83,81,66,Good,Medium,0,8.2,0,100,1
STD20058,10.8,99,70,62,Poor,High,0,8.6,1,99,1
STD20059,21.3,100,72,62,Fair,Medium,1,8.1,0,100,1
STD20060,17.4,73,48,56,Fair,High,0,7.0,0,100,1
STD20061,6.7,85,78,59,Good,High,1,6.2,0,100,1
STD20062,1.9,77,94,55,Good,Low,0,9.5,0,88,1
STD20063,8.2,67,79,74,Fair,Low,1,5.5,0,88,1
STD20064,5.9,80,98,91,Good,Medium,0,7.9,1,100,1
STD20065,21.1,85,88,61,Poor,Medium,0,7.2,0,100,1
STD20066,11.9,79,77,58,Good,Medium,1,6.7,0,100,1
STD20067,16.7,64,67,62,Poor,High,1,7.0,0,100,1
STD20068,10.6,70,69,48,Fair,Medium,0,6.1,1,83,1
